year,month,borough,pickup_and_dropoff_count
2018,12,Bronx,16.0
2018,12,Brooklyn,53.0
2018,12,Manhattan,658.0
2018,12,Queens,81.0
2018,12,Staten Island,1.0
2018,12,Unknown,28.0
2019,1,Bronx,1.0
2019,1,Brooklyn,1.0
2019,1,Manhattan,81.0
2019,1,Queens,6.0
2019,2,Manhattan,30.0
2019,2,Queens,1.0
2019,3,Bronx,1.0
2019,3,Brooklyn,1.0
2019,3,Manhattan,16.0
2019,3,Queens,5.0
2019,3,Unknown,1.0
2019,4,Manhattan,10.0
2019,5,Bronx,14.0
2019,5,Brooklyn,129.0
2019,5,Manhattan,856.0
2019,5,Queens,282.0
2019,5,Unknown,19.0
2019,6,Brooklyn,1.0
2019,6,Manhattan,14.0
2019,6,Queens,1.0
2019,9,Manhattan,10.0
2019,11,Unknown,6.0
2019,12,Manhattan,1.0
2019,12,Queens,2.0
2020,1,Bronx,16.0
2020,1,Brooklyn,50.0
2020,1,Manhattan,950.0
2020,1,Queens,69.0
2020,1,Staten Island,1.0
2020,1,Unknown,8.0
2020,3,Manhattan,12.0
2020,8,Manhattan,1.0
2020,8,Queens,1.0
2020,12,Manhattan,2.0
